-11	DRAWING	TITLE	FIND
X	1006150	SCHEMATIC	REF
1	1004605	INSULATOR, PLATE	39
1	1006752	TRANSISTOR, SILICON, TYPE NPN	38
1	1010406-7	COIL, RF, CHOKE	37
1	1006777-24	CAPACITOR, FIXED, CERAMIC	36
1	1006750-56	RESISTOR, FIXED FILM, 1/4 W +/- 2%	35
6	1006750-1	RESISTOR, FIXED FILM, 1/4 W +/- 2%	34
2	1006750-32	RESISTOR, FIXED FILM, 1/4 W +/- 2%	33
2	MS35200-12	SCREW, FLAT HEAD	32
1	1004127-19	BUTTON, KEYBOARD	31
AR	QQ-W-343 TYPE S AWG 24 TIN COATING “A”	WIRE, ELECTRICAL	30
1	1006755-79	CAPACITOR, 6.8 Uf, 35V, 10%	29
45	1006751	DIODE	28
19	1006755-57	CAPACITOR, 0.1 Uf, 35V, 10%	27
2	1006750-39	RESISTOR, FIXED FILM, 1/4 W +/- 2%	26
1	1004127-16	BUTTON, KEYBOARD	25
1	1004127-15	BUTTON, KEYBOARD	24
1	1004127-14	BUTTON, KEYBOARD	23
1	1004127-13	BUTTON, KEYBOARD	22
1	1004127-12	BUTTON, KEYBOARD	21
1	1004127-11	BUTTON, KEYBOARD	20
1	1004127-10	BUTTON, KEYBOARD	19
1	1004127-9	BUTTON, KEYBOARD	18
1	1004127-8	BUTTON, KEYBOARD	17
1	1004127-7	BUTTON, KEYBOARD	16
1	1004127-6	BUTTON, KEYBOARD	15
1	1004127-5	BUTTON, KEYBOARD	14
1	1004127-4	BUTTON, KEYBOARD	13
1	1004127-3	BUTTON, KEYBOARD	12
1	1004127-2	BUTTON, KEYBOARD	11
1	1004127-1	BUTTON, KEYBOARD	10
14	1006784-9	TERMINAL, FEEDTHRU	9
AR	1010416-21	WIRE, ELEC., STRANDED, INSULATED	8
18	1006821	SWITCH, PUSH	7
AR	1006776-21	INSULATION, SLEEVING	6
AR	1006757-1	WIRE, ELECT. .010 X .020	5
1	1004127-18	BUTTON, KEYBOARD	4
AR	1006757-13	WIRE, ELEC .020 DIA	3
1	1004156	BLOCK, COMPONENT	2
1	1004532	PANEL, FRONT	1
			
		PROOFED	
