-11	DRAWING	TITLE	FIND	STRIKE
X	1005790	SCHEMATIC	REF	
1	1006777-24	CAPACITOR, FIXED, CERAMIC	38	
1	1010406-7	COIL, RF, CHOKE	37	
6	1006750-1	RESISTOR, FIXED FILM	36	
1	1004605	INSULATOR, PLATE	35	
1	1006750-56	RESISTOR, FIXED FILM	34	
1	1006752	TRANSISTOR, SILICON, TYPE NPN	33	
2	1006750-32	RESISTOR, FIXED FILM	32	
1	1004602-19	BUTTON, KEYBOARD	31	
3	MS51959-13	SCREW, FLAT HEAD	30	
2	1006755-79	CAPACITOR, FIXED, TANTALUM	29	
45	1006751	SEMI CONDUCTOR DEVICE, DIODE	28	
19	1006755-57	CAPACITOR, FIXED, TANTALUM	27	
2	1006750-39	RESISTOR, FIXED FILM	26	
1	1004602-16	BUTTON, KEYBOARD	25	
1	1004602-15	BUTTON, KEYBOARD	24	
1	1004602-14	BUTTON, KEYBOARD	23	
1	'1004602-13	BUTTON, KEYBOARD	22	
1	'1004602-12	BUTTON, KEYBOARD	21	
1	'1004602-11	BUTTON, KEYBOARD	20	
1	'1004602-10	BUTTON, KEYBOARD	19	
1	'1004602-9	BUTTON, KEYBOARD	18	
1	'1004602-8	BUTTON, KEYBOARD	17	
1	'1004602-7	BUTTON, KEYBOARD	16	
1	'1004602-6	BUTTON, KEYBOARD	15	
1	'1004602-5	BUTTON, KEYBOARD	14	
1	'1004602-4	BUTTON, KEYBOARD	13	
1	'1004602-3	BUTTON, KEYBOARD	12	
1	'1004602-2	BUTTON, KEYBOARD	11	
1	'1004602-1	BUTTON, KEYBOARD	10	
16	1006784-9	TERMINAL, FEED THRU	9	
1	1004597	HOLDER, COMPONENT	8	
18	1006738	SWITCH, PUSH	7	
10.5	1006776-21	INSULATION, SLEEVING	6	
12.5	1006757-1	WIRE ELECTRICAL, .010 X .020	5	
1	1004602-18	BUTTON, KEYBOARD	4	
8.5	1006757-13	WIRE, ELECTRICAL, .020 DIA	3	
1	1004596	BLOCK COMPONENT	2	
1	1004784	PANEL, FRONT	1	
