-11	FIND	DRAWING	TITLE
1	39	1010359-25	CAPACITOR
1	38	1008540-6	GASKET, CONNECTOR - MINIATURE
X	REF	1010058	SCHEMATIC
1	37	1008548	GASKET, CONNECTOR - MINIATURE
1	36	1008540-2	GASKET, CONNECTOR - MINIATURE
AR	35	1006776-22	INSULATION, SLEEVING
AR	34	1006776-20	INSULATION, SLEEVING
AR	33	1006757-8	WIRE, ELEC
AR	32	1006757-1	WIRE, ELEC
AR	31	1006776-21	INSULATION, SLEEVING
20	30	1006782-5	CONTACT, WRAPOST MALE - MINIATURE
20	29	1006775	INSULATOR, WRAPOST MALE - MINIATURE
1	28	MS20341-416B	NUT
2	27	MS20341-10B	NUT
6	26	MS20341-4A	NUT
6	25	MS35338-78	WASHER, LOCK
1	24	1008071-5	WASHER, FLAT
2	23	1008071-4	WASHER, FLAT
6	22	1008070-5	WASHER, FLAT
1	21	1008024-4	WASHER, INSULATOR
1	20	1008024-3	WASHER, INSULATOR
1	19	1008024-2	WASHER, INSULATOR
1	18	1008024-1	WASHER, INSULATOR
1	17	1008021-2	BUSHING, INSULATOR
1	16	1008021-1	BUSHING, INSULATOR
1	15	1000287	AMPL MA25A-1
1	14	1000286	AMPL MA20A-1
1	13	1000285	AMPL PA36A-1
1	12	1010273-1	TRANSISTOR
1	11	1010331-009	DIODE
1	10	1010322-001	DIODE
1	9	1010311 SEE TABLE R8	RESISTOR
1	8	1006750-56	RESISTOR
1	7	1010453-1	RESISTOR
1	6	1010399-16	RESISTOR
1	5	1010312-36	RESISTOR
1	4	1010835-2	RESISTOR
2	3	1010835-1	RESISTOR
2	2	1010364-368	RESISTOR
1	1	1007070	RESISTOR
			
			PROOFED
