FIND	0	DRAWING	TITLE
1	14' 7"	1010416-1	WIRE, AWG 28E, BLK
2	4' 8.72"	1010416-2	WIRE, AWG 28E, BRN
3	9' 8.74"	1010416-3	WIRE, AWG 28E, RED
4	11' 11.75"	1010416-4	WIRE, AWG 28E, ORN
5	13' 11.75"	1010416-5	WIRE, AWG 28E, YEL
6	17' 7.23"	1010416-6	WIRE, AWG 28E, GRN
7	14' 12.25"	1010416-7	WIRE, AWG 28E, BLU
8	16' 5"	1010416-8	WIRE, AWG 28E, VIO
9	6' 3.25"	1010416-9	WIRE, AWG 28E, GY
10	4' 9.25"	1010416-10	WIRE, AWG 28E, WHT
11	5' 2.50"	1010778-2	WIRE, 2 COND. SHIELDED
12	1	1010917-808	CONNECTOR – RECEP (P13)
13	1	1010917-809	CONNECTOR – RECEP (P14)
14	3	1010917-906	CONNECTOR – RECEP (P15, 16, 17)
15	3	1001497-2	CONNECTOR – RECEP (P18, 19, 20)
16	74	2021397-016	INSULATION – SLEEVING 1006776-18 .310 + EA  = .016 LG.
17	41	2021397-017	INSULATION – SLEEVING 1006776-14 .310 + EA  = .016 LG.
18	14	1010490-080	INSULATION – SLEEVING HEAT SHRINK
19	2	1010476-112	INSULATION – SLEEVING HEAT SHRINK
20	3	1010717-1	TERMINAL LUG
21	AR	MIL-T-713	TAPE, AXLCA, WAXED, TYPE P, CLASS 2, BLACK.
22	1	2018810-1	SHIELD + GROUND ASSY.
23	1	2018810-2	SHIELD + GROUND ASSY.
24	1	2018810-3	SHIELD + GROUND ASSY.
25	1	2018810-4	SHIELD + GROUND ASSY.
26	1	2018810-5	SHIELD + GROUND ASSY.
27	1	2018810-6	SHIELD + GROUND ASSY.
28	56"	1010416-31	WIRE, AWG 24, BLK
29	19"	1010416-33	WIRE, AWG 24, RED
30	30"	1010416-37	WIRE, AWG 24, BLU
31	18"	1010416-36	WIRE, AWG 24, GRN
32	2	2021449-011	BRACKET, LOOP CLAMP (INSEPARABLE ASSEMBLY)
33	1	2021450-011	BRACKET, LOOP CLAMP (INSEPARABLE ASSEMBLY)
34	3	1001489-4	SCRWE, HEX, SOC. HD.
35	3	1000223	WASHER, CABLE CLAMP
36	AR	1002004 (TYPE I)	ADHESIVE
37	1	1000220-4	CLAMP, CABLE
38	1	1000220-5	CLAMP, CABLE
39	1	1000220-6	CLAMP, CABLE
40	1	1000220-14	CLAMP, CABLE
41	1	1000220-15	CLAMP, CABLE
42	AR	MIL-I-15126 TYPE ACT	TAPE, ??? ELEC. PRESSURE SENSITIVE
43	16"	1010416-34	WIRE, AWG 24, ORN
44	20"	1010416-35	WIRE, AWG 24, YEL
45	9"	1010416-38	WIRE, AWG 24, VIO
46	6"	1010416-39	WIRE, AWG 24, GRY
47	14	1010952-001	SPLICE, CONDUCTOR
48	14	1010490-149	INSULATION – SLEEVING HEAT SHRINK
			
			PROOFED
