-51	-3	-12	-2	-41	-1	-31	-21	-11	0	FIND	DRAWING	TITLE	STRIKE
1	0	0	0	0	1	0	0	0	0	103	2021468-011	COVER, GEARBOX	
1	0	0	0	0	1	0	0	0	0	102	2012802	DOG, LIMIT STOP, OUTER	
3	0	0	0	0	3	0	0	0	0	101	2012801	DOG, LIMIT STOP	
1	0	0	0	0	1	0	0	0	0	100	2021462	DOG, LIMIT STOP, INNER	
										99			
0	1	1	1	0	0	0	0	0	0	98	2012735-001	SXT INDEX HEAD ASSY	
1	0	0	0	1	0	0	0	0	0	97	2012735-021	SXT INDEX HEAD ASSY	
1	0	0	0	1	0	1	0	0	0	96	2011705-011	SHAFT DRIVE GEAR BOX SXT, ASSY OF	
1	0	0	0	1	0	1	0	0	0	95	2011703-011	SHAFT DRIVE GEAR BOX, ASSY OF, SCT	
1	0	0	0	1	0	1	0	0	0	94	2011702-011	TRUNNION DRIVE GEAR BOX, SCT, ASSY OF	
0	0	0	0	0	0	1	0	0	0	93	2012735-011	SXT INDEX HEAD ASSY	
2	2	0	0	2	2	2	2	0	0	92	2012760	WEDGE, RIGHT TRIANGULAR	
1	1	1	0	1	0	1	1	1	0	91	2011889-031	OPTICAL UNIT SUB-ASSY STAGE I	
0	0	0	0	0	0	0	0	0	0	90	1012540-029	SCREW, HEX HD, SELF LOCKING	
0	0	0	0	0	0	0	0	0	0	89	MS15795-804	WASHER, FLAT	
0	0	0	0	0	0	0	0	0	0	88	MS15795-803	WASHER, FLAT	
2	2	2	2	2	2	2	2	2	2	87	NAS1351C3LL20	SCREW, CAP, SOC HD, SELF LOCKING, SEE NOTE 3S	
9	9	9	9	9	9	9	9	9	9	86	1011625-20	SCREW, CAP, SOC HD, SELF LOCKING	
0	1	1	1	1	0	1	1	1	1	85	2011595	COVER, GEARBOX	
1	1	1	1	1	1	1	1	1	1	84	MS16624-1018	RING, RETAINING	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	83	2012351-1 or 2012351-2 or 2012351-3	WASHER, FLAT	
0	1	1	1	1	0	1	1	1	1	82	2011578	DOG, LIMIT STOP, OUTER	
0	3	3	3	3	0	3	3	3	3	81	2011579	DOG, LIMIT STOP	
0	1	1	1	1	0	1	1	1	1	80	2011580	DOG, LIMIT STOP, INNER	
1	1	1	1	1	1	1	1	1	1	79	1011608-5	BEARING, BALL, ANNULAR	
1	1	1	1	1	1	1	1	1	1	78	2011581	GUIDE, SPRING, LIMIT STOP	
1	1	1	1	1	1	1	1	1	1	77	2011577	SPRING, TORSION	
1	1	1	1	1	1	1	1	1	1	76	2012350	WASHER	
1	1	1	1	1	1	1	1	1	1	75	2012723	COUNTERWEIGHT	
1	1	1	1	1	1	1	1	1	1	74	1011599-10	PACKING, PREFORMED, RETAINED	
2	2	2	2	2	2	2	2	2	2	73	MS35249-11	SCREW, MACHINE, FLAT COUNTERSUNK HD, SLOTTED	
8	8	8	8	8	8	8	8	8	8	72	1011625-39	SCREW, CAP, SOC HEAD, SELF LOCKING	
2	2	2	2	2	2	2	2	2	2	71	NAS1352C06LL6	SCREW, CAP, SOC HEAD, SELF LOCKING	
2	2	2	2	2	2	2	2	2	2	70	NAS1351C3LL10	SCREW, CAP, SOC HEAD, SELF LOCKING, SEE NOTE 3S	
4	4	4	4	4	4	4	4	4	4	69	NAS1189C02T4L	SCREW, FLAT HD, SELF LOCKING	
2	2	2	2	2	2	2	2	2	2	68	MS16624-15	RING, RETAINING, EXTERNAL, BASIC	
1	1	1	1	1	1	1	1	1	1	67	MS15795-305	WASHER, FLAT	
1	1	1	1	1	1	1	1	1	1	66	1011918-2	WASHER, CABLE CLAMP	
1	1	1	1	1	1	1	1	1	1	65	1000220-6 or 1000220-5	CLAMP, CABLE	
1	1	1	1	1	1	1	1	1	1	64	1000220-8 or 1000220-6	CLAMP, CABLE	
1	1	1	1	1	1	1	1	1	1	63	2012491	PLATE, END, RESOLVER	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	62	2011885	SHIM	
1	1	1	1	1	1	1	1	1	1	61	1011599-9	PACKING, PREFORMED, RETAINED	
1	1	1	1	1	1	1	1	1	1	60	1012520-2	FLEXPRINT & CONNECTOR, ASSY OF	
1	1	1	1	1	1	1	1	1	1	59	2011713	SCT BASE HARNESS ASSY	
1	1	1	1	1	1	1	1	1	1	58	2011896	SXT BASE HARNESS ASSY	
1	1	1	1	1	1	1	1	1	1	57	1012065	RESOLVER ASSY, 1 SPEED, 2 SPEED, 64 SPEED	
0	0	0	0	0	1	0	1	1	1	56	2012735-000	SXT INDEX HD ASSY	
1	1	1	1	1	1	1	1	1	1	55	2012164	GROMMET	
1	1	1	1	1	1	1	1	1	1	54	2012740	CONNECTOR ASSY, DUMMY	
2	2	2	2	2	2	2	2	2	2	53	1011625-30	SCREW, CAP, SOC HD, SELF LOCKING	
2	2	2	2	2	2	2	2	2	2	52	NAS1352C08LL12	SCREW, CAP, SOC HD, SELF LOCKING	
7	7	7	7	7	7	7	7	7	7	51	NAS1352C08LL8	SCREW, CAP, SOC HD, SELF LOCKING	
1	1	1	1	1	1	1	1	1	1	50	1011625-28	SCREW, CAP, SOC HD, SELF LOCKING	
4	4	4	4	4	4	4	4	4	4	49	NAS1352C06LL4	SCREW, CAP, SOC HD, SELF LOCKING	
8	8	8	8	8	8	8	8	8	8	48	NAS1352C04LL8	SCREW, CAP, SOC HD, SELF LOCKING	
14	14	14	14	14	14	14	14	14	14	47	NAS1352C04LL6	SCREW, CAP, SOC HD, SELF LOCKING, SEE NOTE 3S	
14	14	14	14	14	14	14	14	14	14	46	NAS1352C04LL4	SCREW, CAP, SOC HD, SELF LOCKING, SEE NOTE 3S	
12	12	12	12	12	12	12	12	12	12	45	NAS1352C02LL4	SCREW, CAP, SOC HD, SELF LOCKING	
4	4	4	4	4	4	4	4	4	4	44	1011625-11	SCREW, CAP, SOC HD, SELF LOCKING	
12	12	12	12	12	12	12	12	12	12	43	NAS1189C04P6L	SCREW, SELF LOCKING, 100 DEGREE FLAT HEAD	
										42			
2	2	2	2	2	2	2	2	2	2	41	AN960-C8	WASHER, FLAT, REGULAR	
1	1	1	1	1	1	1	1	1	1	40	NAS1352C08LL10	SCREW, CAP, HEX SOC HD, SELF LOCKING	
2	2	2	2	2	2	2	2	2	2	39	2011684	PIN, THREADED	
1	1	1	1	1	1	1	1	1	1	38	2011877	SPACER	
1	1	1	1	1	1	1	1	1	1	37	1012525-005	NUT, SELF LOCKING, HEX, THIN	
1	1	1	1	1	1	1	1	1	1	36	MS9021-154	PACKING, PREFORMED	
1	1	1	1	1	1	1	1	1	1	35	1011606-1	BEARING, BALL	
1	1	1	1	1	1	1	1	1	1	34	1011606-2	BEARING, BALL	
1	1	1	1	1	1	1	1	1	1	33	2011825	GEAR, SPUR (42T-96P)	
2	2	2	2	2	2	2	2	2	2	32	2011562	BUSHING, LOCATING	
2	2	2	2	2	2	2	2	2	2	31	2011561	BUSHING, ECCENTRIC	
1	1	1	1	1	1	1	1	1	1	30	2011344	SCREW, SHOULDER	
2	2	2	2	2	2	2	2	2	2	29	2011353	SPACER, SPRING HOLDER	
1	1	1	1	1	1	1	1	1	1	28	2011351	BRACKET, MOUNTING, SPRING HOLDER	
1	1	1	1	1	1	1	1	1	1	27	2012487	PLATE, MOUNTING, CONNECTOR	
1	1	1	1	1	1	1	1	1	1	26	2012486	SPACER, CONNECTOR, MOUNTING PLATE	
1	1	1	1	1	1	1	1	1	1	25	2012374	PLATE, MOUNTING, CONNECTOR	
1	1	1	1	1	1	1	1	1	1	24	2011622	PLATE, MOUNTING, CONNECTOR	
3	3	3	3	3	3	3	3	3	3	23	2011341	PLATE, RETAINING, STOP RING	
1	1	1	1	1	1	1	1	1	1	22	2011342	RING, LIMIT STOP	
1	1	1	1	1	1	1	1	1	1	21	2012739	PLATE, FLEXPRINT GUIDE	
1	1	1	1	1	1	1	1	1	1	20	2011616	RING, MOUNTING, COVER	
1	1	1	1	1	1	1	1	1	1	19	2011321	PLATE, MOUNTING, CONNECTOR	
1	1	1	1	1	1	1	1	1	1	18	2011322	PLATE, MOUNTING, CONNECTOR	
6	6	6	6	6	6	6	6	6	6	17	2011323	POST, SHOULDERED, THREADED	
1	1	1	1	1	1	1	1	1	1	16	2012743	FLEXPRINT RETAINING ASSY	
2	2	2	2	2	2	2	2	2	2	15	2011686	RETAINER, PIN	
1	1	1	1	1	1	1	1	1	1	14	1012520-1	FLEXPRINT & CONNECTOR, ASSY OF (SXT)	
1	1	1	1	1	1	1	1	1	1	13	1012519	FLEXPRINT & CONNECTOR, ASSY OF (SXT)	
0	1	1	1	0	1	0	1	1	1	12	2011705-000	SHAFT DRIVE GEAR BOX, SXT, ASSY OF	
1	1	1	1	1	1	1	1	1	1	11	2011714	LIMIT STOP ASSY	
1	1	1	1	1	1	1	1	1	1	10	2012387	GEAR & SPRING, ASSY OF	
1	1	1	1	1	1	1	1	1	1	9	2011906	HOUSING, STATOR & LAMP, ASSY OF	
0	1	1	1	0	1	0	1	1	1	8	2011703-000	SHAFT DRIVE, GEAR BOX, SCT, ASSY OF	
0	1	1	1	0	1	0	1	1	1	7	2011702-000	TRUNNION DRIVE GEAR BOX, SCT, ASSY OF	
1	1	1	1	1	1	1	1	1	1	6	2011215-011	TELESCOPE TRUNNION AXIS ASSY	
1	1	1	1	1	1	1	1	1	1	5	2011723	DRIVE GEAR, CLUSTER ASSY	
1	1	1	1	1	1	1	1	1	1	4	2011731	HOUSING & LAMP, ASSY OF	
1	1	1	1	1	1	1	1	1	1	3	2011724	INNER TELESCOPE TUBE, ASSY OF	
1	1	1	1	1	1	1	1	1	1	2	2011722	OUTER TELESCOPE TUBE ASSY	
0	0	0	1	0	1	0	0	0	1	1	2011889-021	OPTICAL UNIT SUBASSY - STAGE I	
													
X	X	X	X	X	X	X	X	X	X	REF	X	PROOFED	X
