-11	DRAWING	TITLE	FIND	STRIKE
X	1006160	SCHEMATIC	REF	
1	1006777-24	CAPACITOR, FIXED CERAMIC	39	
1	1010406-7	COIL, RF, CHOKE	38	
6	1006750-1	RESISTOR, FIXED FILM	37	
1	1004605	INSULATOR, PLATE	36	
1	1006750-56	RESISTOR, FIXED FILM	35	
1	1006752	TRANSISTOR, SILICON TYPE NPN	34	
2	1006750-32	RESISTOR, FIXED FILM	33	
1	'1004602-17	BUTTON, KEYBOARD	32	
1	'1004602-19	BUTTON, KEYBOARD	31	
2	MS35200-12	SCREW, FLAT HEAD	30	
1	1006755-79	CAPACITOR, FIXED, TANTALUM	29	
45	1006751	SEMI-CONDUCTOR DEVICE, DIODE	28	
19	1006755-57	CAPACITOR, FIXED, TANTALUM	27	
2	1006750-39	RESISTOR, FIXED FILM	26	
1	'1004602-16	BUTTON, KEYBOARD	25	
1	'1004602-15	BUTTON, KEYBOARD	24	
1	'1004602-14	BUTTON, KEYBOARD	23	
1	'1004602-13	BUTTON, KEYBOARD	22	
1	'1004602-12	BUTTON, KEYBOARD	21	
1	'1004602-11	BUTTON, KEYBOARD	20	
1	'1004602-10	BUTTON, KEYBOARD	19	
1	'1004602-9	BUTTON, KEYBOARD	18	
1	'1004602-8	BUTTON, KEYBOARD	17	
1	'1004602-7	BUTTON, KEYBOARD	16	
1	'1004602-6	BUTTON, KEYBOARD	15	
1	'1004602-5	BUTTON, KEYBOARD	14	
1	'1004602-4	BUTTON, KEYBOARD	13	
1	'1004602-3	BUTTON, KEYBOARD	12	
1	'1004602-2	BUTTON, KEYBOARD	11	
1	'1004602-1	BUTTON, KEYBOARD	10	
18	1006784-9	TERMINAL, FEED THRU	9	
1.3	1010416-21	WIRE, ELEC, STRANDED, INSULATED	8	X
19	1006738	SWITCH, PUSH	7	
9.3	1006776-21	INSULATION, SLEEVING	6	
12	1006757-1	WIRE, ELECTRICAL, .010 X .020	5	
1	'1004602-18	BUTTON, KEYBOARD	4	
8.5	1006757-13	WIRE, ELECTRICAL, .020 DIA	3	
1	1004596	BLOCK COMPONENT	2	
1	1004598	PANEL, FRONT	1	
