0	DRAWING	TITLE	FIND	NOTE
2	1008256	PIN, POLARIZING	21	
X	10100226	WIRING DIAGRM	REF	In earlier revisions of 1007144, drawing 1010094 was called out instead.
1	1015742	WIRE LIST A A	20	
1	1015736	WIRING HARNESS A	19	
2	MS21045C04	NUT, SELF-LOCKING HEX	18	The original drawing erroneously calls out MA21045C04.
2	MS16995-11	SCREW, CAP, SOCKET HEAD	17	
3	MS16995-10	SCREW, CAP, SOCKET HEAD	16	
36	MS171433	PIN, SPRING	15	
36	1004207	DRIVE CYLINDER	14	
1	1008099-2	WASHER	13	
72	1004206	WASHER, THRUST	12	
1	1008098	SCREW, SOCKET HEAD	11	
36	1008172	SCREW, JACK	10	
1	1001317	RETAINER, JACK SCREW	9	
2	1010620-5	PIN, GUIDE	8	
24	-4	PIN, GUIDE	7	
1	1010622-1	CONNECTOR, RECEPTACLE	6	
84	1010383-1	INSULATOR, WRAPOST, MALE	5	
84	1010382-1	CONTACT, BLADE EDGE CONNECTOR	4	
180	1006781-2	CONTACT, WRAPOST, FEMALE MIN	3	
180	1006774	INSULATOR, WRAPOST, FEMALE MIN	2	
1	1008104	FRAME	1	
				
		PROOFED		
