-31	-21	-11	FIND	DRAWING	TITLE
4			22	2021283	DRIVE CYLINDER
4			21	2021282-001	SCREW, JACK
2			20	2021281-001	SCREW, CAPTIVE
4	4		19	MS171433	PIN, SPRING
	4		18	1004207	DRIVE CYLINDER
	2		17	1008827-003	SCREW, CAPTIVE
6	6		16	2010768	GASKET
2	2		15	2010767-002	WASHER, STEP
4	4		14	2010767-001	WASHER, STEP
4	4		13	2004148-010	WASHER
	4		12	2010782-001	SCREW, JACK
2	2		11	2010764	SHELL, ELECT. CONN.
1	1		10	2010759	BASE, ELECT. CONN.
		6	9	1004546-3	WASHER, FLAT
		4	8	1004546-1	WASHER, FLAT
		4	7	MS16633-4015	RING, RETAINING, EXTERNAL
		4	6	1004579-3	SCREW, JACK
		2	5	1008827-1	SCREW, CAPTIVE
12	12	12	4	1006783-18	SCREW, BUTTON HD
182	182	182	3	1010956-1	INSULATOR, MALE
		1	2	2010656	BASE, ELECTRICAL CONNECTOR
		2	1	2014752	SHELL, ELECTRICAL CONNECTOR
					
					PROOFED
