-11	DRAWING	TITLE	FIND	STRIKE
1	1010620-3	PIN GUIDE	9	
1	NAS1394CA-08L	INSERT THREADED	8	
26	1006702-5	INSERT, THREADED, SELF-LOCKING	7	
58	1004248	PIN, KEYING	6	
180	1010383-1	INSULATOR, WRAPOST, MALE	5	
180	1006996-6	CONTACT, BLADE EDGE CONN	4	
1167	1006774	INSULATOR, WRAPOST, FEMALE MIN	3	
1167	1006781-2	CONTACT, WRAPOST, FEMALE MIN	2	
1	1003127-1	TRAY B, MATCHED MACHINED	1	
				
X	X	(PROOFED)	REF	X
